Base Assy Kit,Base Assy Kit Description,Countertop Assy Kit,Countertop Assy Kit Description,Cladding Assy Kit,Cladding Assy Kit Description,Finish Kit,Finish Kit Description,Saleable Sku,Saleable Sku Description, 
12317-01,"Beacon Side Module, Left, 59L Refrig.",21153-01,Beacon Countertop - No Accessory  ,32348-01,"Cladding Kit, Beacon Side Module, 59L Refrig., Masonry Door",43488-01,"Finish Kit - A, Beacon Side Left Module, No Lighting",02565-01,"Beacon, Left, 59L Refrigerator", 
15169-01,"Beacon Side Module, Right, 1420 Door, Sink",21067-01,Beacon Countertop - With Sink  ,35372-01,"Cladding Kit, Beacon Side Module, 1420 Door, Masonry Door",44850-01,"Finish Kit - A, Beacon Side Right Module, No Lighting",05600-01,"Beacon, Right, 1420 Door, Sink", 
12128-01,"24in Wide Low Mod., 38L Refrig.",20469-01,Std. Low Module Countertop,32926-01,"Cladding Kit, 24in Wide Low Mod., 38L Refrig.",43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",02636-01,"24in Wide Low Mod., 38L Refrig.", 
18754-01,"24in Wide Low Mod., 2 Drawer Cabinet",20469-01,Std. Low Module Countertop,32072-01,"Cladding Kit, 24in Wide Low Mod., 2 Drawer Cabinet",43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",08261-01,"24in Wide Low Mod., 2 Drawer Cabinet", 
18887-01,"24in Wide Low Mod., Trash Pull-Out Cabinet",20469-01,Std. Low Module Countertop,32450-01,"Cladding Kit, 24in Wide Low Mod., Trash Pull-Out Cabinet",43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",08201-01,"24in Wide Low Mod., Trash Pull-Out Cabinet", 
15422-01,"24in Wide Low Mod., 1420 Door (Sink/Ice Bin)",20598-01,Std. Low Module Countertop w/sink,32777-01,"Cladding Kit, 24in Wide Low Mod., 1420 Door ",43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",05841-01,"24in Wide Low Mod., 1420 Door, Sink/Faucet", 
15422-01,"24in Wide Low Mod., 1420 Door (Sink/Ice Bin)",20199-01,Std. Low Module Countertop w/Ice Bin,32777-01,"Cladding Kit, 24in Wide Low Mod., 1420 Door ",43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",05406-01,"24in Wide Low Mod., 1420 Door, Ice Bin", 
12462-01,"32in Wide High Mod., 63L Refrigerator",20494-01,Std. High Module Countertop,32233-01,"Cladding Kit, 32in Wide High Mod., 63L Refrigerator",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",02017-01,"32in Wide High Mod., 63L Refrigerator", 
12462-01,"32in Wide High Mod., 63L Refrigerator",26789-01,Std. High Module Countertop w/16in Pizza Oven,32233-01,"Cladding Kit, 32in Wide High Mod., 63L Refrigerator",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",02778-01,"32in Wide High Mod., 63L Refrigerator, Pizza Oven, LP Box", 
12462-01,"32in Wide High Mod., 63L Refrigerator",24294-01,Std. High Module Countertop w/E-Grill,32233-01,"Cladding Kit, 32in Wide High Mod., 63L Refrigerator",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",02707-01,"32in Wide High Mod., 63L Refrigerator, 16in Sag. E-Grill", 
15395-01,"32in Wide High Mod., 1420 Door (Sink/Ice Bin)",20904-01,Std. High Module Countertop w/sink,32549-01,"Cladding Kit, 32in Wide High Mod., 1420 Door ",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",05947-01,"32in Wide High Mod., 1420 Door, Sink/ faucet", 
15395-01,"32in Wide High Mod., 1420 Door (Sink/Ice Bin)",20734-01,Std. High Module Countertop w/Ice Bin,32549-01,"Cladding Kit, 32in Wide High Mod., 1420 Door ",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",05608-01,"32in Wide High Mod., 1420 Door, Ice Bin", 
13138-01,"32in Wide High Mod., 1724 Door, LP Tank (Pizza Oven)",26789-01,Std. High Module Countertop w/16in Pizza Oven,32412-01,"Cladding Kit, 32in Wide High Mod., 1724 Door ",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",03971-01,"32in Wide High Mod., 1724 Door, Pizza Oven", 
18727-01,"32In Wide High Mod., 2 Drawer Cabinet",20494-01,Std. High Module Countertop,32240-01,"Cladding Kit, 32In Wide High Mod., 2 Drawer Cabinet",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",08938-01,"32In Wide High Mod., 2 Drawer Cabinet", 
18088-01,"32In Wide High Mod., 3 Drawer Cabinet",20494-01,Std. High Module Countertop,32076-01,"Cladding Kit, 32In Wide High Mod., 3 Drawer Cabinet",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",08063-01,"32In Wide High Mod., 3 Drawer Cabinet", 
18860-01,"32In Wide High Mod., Trash Cabinet",20494-01,Std. High Module Countertop,32933-01,"Cladding Kit, 32In Wide High Mod., Trash Cabinet",46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",08074-01,"32In Wide High Mod., Trash Cabinet", 
19354-01,90deg. Low Corner Module,20628-01,90deg High_Low Corner Module Countertop,39879-01,"Cladding Kit, 90deg. Low Corner Module",49115-01,"Finish Kit - A, 90deg. Low Corner Module, No Lighting",09985-01,90deg. Low Corner Module, 
19381-01,90deg. High Corner Module,20628-01,90deg High_Low Corner Module Countertop,39936-01,"Cladding Kit, 90deg. High Corner Module",47863-01,"Finish Kit - A, 90deg. High Corner Module, No Lighting",09028-01,90deg. High Corner Module, 
17119-01,25in Sag Grill Module w/38L Refrig.,22314-01,25in Sagamore LP Grill High Module,37673-01,"Cladding Kit, 25in Sag Grill Module w/38L Refrig.",47102-01,"Finish Kit - A, 25in Sag. Grill High Module, No Lighting",07389-01,"25in Sag Grill High Module, 38L Refrig., LP Box", 
13445-01,32in Sag Grill Module w/2130 Door,23658-01,32in Sagamore LP Grill High Module,33276-01,"Cladding Kit, 32in Sag Grill Module w/2130 Door",43897-01,"Finish Kit - A, 32in Sag. Grill High Module, No Lighting",03187-01,"32in Sag Grill High Module, 2130 Door", 
12595-01,90deg. Low Corner Module w/Post Light,20628-01,90deg High_Low Corner Module Countertop,39879-01,"Cladding Kit, 90deg. Low Corner Module",49115-01,"Finish Kit - A, 90deg. Low Corner Module, No Lighting",02469-01,90deg. Low Corner Module w/Light Post, 
12568-01,90deg. High Corner Module/Post Light,20628-01,90deg High_Low Corner Module Countertop,39936-01,"Cladding Kit, 90deg. High Corner Module",47863-01,"Finish Kit - A, 90deg. High Corner Module, No Lighting",02288-01,90deg. High Corner Module w/Light Post, 
,,,,,,,,,, 
